"timesteps","rewards","uncertainties"
10000,113.6,2.46
20000,175.2,36.58
30000,293.6,14.1
40000,138.8,4.98
50000,210.6,236.3
60000,500,0
70000,103.7,2.93
80000,92,2.28
90000,500,0
1e+05,28.7,24.52
