"timesteps","rewards","uncertainties"
10000,-34.23,21.74
20000,-4.27,15.28
30000,9.7,50.58
40000,-35.89,149.56
50000,74.01,101.61
60000,137.4,105.32
70000,198.78,53.34
80000,247.03,41.87
90000,109.7,103.93
1e+05,19.3,86.86
