"timesteps","rewards","uncertainties"
10000,-1392.18,432.34
20000,-867.38,307.06
30000,-522.26,396.76
40000,-515.15,447.45
50000,-311.57,265.58
60000,-368.39,242.85
70000,-429.28,315.03
80000,-108.8,240.25
90000,34.31,157.01
1e+05,-233.84,234.32
