"timesteps","rewards","uncertainties"
10000,-107.3,23.23
20000,-253.1,201.65
30000,-89.6,12.42
40000,-92.5,39.69
50000,-86.1,11.18
60000,-98.3,45.71
70000,-104,43.09
80000,-94.7,42.11
90000,-78.6,2.54
1e+05,-81.9,6.8
