"timesteps","rewards","uncertainties"
10000,-963.16,529.45
20000,-1073.62,205.84
30000,-703.19,80.84
40000,-204.03,450.18
50000,-327.79,216.24
60000,-329.26,274.7
70000,-472.33,231.83
80000,-511.77,218.57
90000,-273.21,159.38
1e+05,-122.4,252.61
