"timesteps","rewards","uncertainties"
10000,81.4,24.3
20000,89.7,2.15
30000,130,8.45
40000,59.2,26.44
50000,500,0
60000,214.7,9.75
70000,500,0
80000,500,0
90000,85.6,19.66
1e+05,109.2,3.25
