"timesteps","rewards","uncertainties"
10000,-293.48,110.07
20000,-120.02,24.88
30000,-115.36,18.34
40000,-75.83,32.24
50000,68.73,93.77
60000,46.11,99.88
70000,-72.95,153.5
80000,-137.33,80.83
90000,-65.79,110.9
1e+05,-141.98,43.47
110000,-105.43,111.08
