"timesteps","rewards","uncertainties"
10000,396.7,129.32
20000,291.9,104.3
30000,220.3,31.23
40000,195.4,10.99
50000,307.3,75.52
60000,67.7,7.21
70000,167.5,26.14
80000,119,47.64
90000,500,0
1e+05,500,0
