"timesteps","rewards","uncertainties"
10000,-295.86,156.71
20000,-1266.92,890.87
30000,-1087.71,611.32
40000,-1255.87,249.86
50000,-911.84,407.27
60000,-746.17,408.85
70000,-315.15,138.34
80000,-433.89,164.59
90000,-407.55,77.99
1e+05,-241.09,68.97
110000,-238.46,57.82
