"timesteps","rewards","uncertainties"
10000,295,117.18
20000,465.2,70.49
30000,178,26.23
40000,441.8,77.87
50000,395.4,80.76
60000,440.9,81.93
70000,500,0
80000,500,0
90000,139,23.53
1e+05,254.7,70.04
