"timesteps","rewards","uncertainties"
10000,262.1,34.42
20000,500,0
30000,241.6,42.03
40000,250.1,95.1
50000,171.8,44.34
60000,497.8,6.6
70000,487.5,25.01
80000,500,0
90000,500,0
1e+05,500,0
