"timesteps","rewards","uncertainties"
10000,-519.61,258.74
20000,-162.35,59.93
30000,-207.75,52
40000,1.97,35.17
50000,-96.84,117.65
60000,-188.8,95.88
70000,-103.14,114.39
80000,-51.67,98.79
90000,-1.33,85.33
1e+05,-144.12,65.92
110000,-163.82,66.8
