"timesteps","rewards","uncertainties"
10000,-500,0
20000,-500,0
30000,-89.2,14.06
40000,-76,10.74
50000,-85,18.47
60000,-71.2,4.77
70000,-81.2,8.96
80000,-75.9,15.53
90000,-90.8,27.57
1e+05,-74.8,11.78
