"timesteps","rewards","uncertainties"
10000,-101.69,55.51
20000,-7.12,22.78
30000,17.07,206.04
40000,-68.98,87.78
50000,33.75,102.44
60000,154.6,133.04
70000,90.22,142.43
80000,-0.69,121.98
90000,101.39,121.84
1e+05,203.88,115.68
