"timesteps","rewards","uncertainties"
10000,-500,0
20000,-83.9,11.92
30000,-97.3,65.75
40000,-78.4,7.89
50000,-76.4,9.5
60000,-83.9,9.06
70000,-88,12.92
80000,-79.2,9.79
90000,-77.1,12.66
1e+05,-80.9,11.67
