"timesteps","rewards","uncertainties"
10000,-119.25,109.25
20000,28.18,113.09
30000,202.47,79.93
40000,104.62,118.88
50000,96.9,99.8
60000,97.03,184.84
70000,44.38,134.2
80000,74.16,145.13
90000,247.14,33.85
1e+05,220.56,95.49
