"timesteps","rewards","uncertainties"
10000,-90,12.38
20000,-84,6.42
30000,-95.7,16.77
40000,-82.3,7.68
50000,-85.4,10.68
60000,-137,123.89
70000,-86,12.83
80000,-93.1,29.14
90000,-92,33.19
1e+05,-85.8,14.33
