"timesteps","rewards","uncertainties"
10000,-189.81,102.14
20000,-130.68,75.4
30000,-131.63,70.86
40000,128.82,118.95
50000,-217.23,38
60000,-224.33,33.78
70000,-185.64,41.79
80000,-172.48,94.27
90000,-72.71,70.99
1e+05,-176.32,30.95
110000,-170.39,34.45
