"timesteps","rewards","uncertainties"
10000,-1083.41,174.69
20000,-2820.94,541.04
30000,-682.64,85.26
40000,-333.99,192.79
50000,-628.49,385.21
60000,-260.15,244.12
70000,-377.04,212.29
80000,-115.35,236.2
90000,-296.58,271.41
1e+05,-30.34,234.44
