"timesteps","rewards","uncertainties"
10000,-106.5,39.18
20000,-102.1,43.53
30000,-82,9.12
40000,-81.6,8.03
50000,-76.9,6.53
60000,-79.7,8.34
70000,-88.2,14.72
80000,-81.7,7.35
90000,-76.6,8.24
1e+05,-83.2,12.01
