"timesteps","rewards","uncertainties"
10000,-89.2,23.92
20000,-210.3,190.51
30000,-161.2,169.68
40000,-89.6,22.92
50000,-75.6,5.41
60000,-83,10.12
70000,-81.8,6.73
80000,-83.2,20.82
90000,-81.5,11.43
1e+05,-82.3,11.96
