"timesteps","rewards","uncertainties"
10000,-1202.51,60.54
20000,-1659.52,111.98
30000,-1196.8,478.77
40000,-645.77,435.6
50000,-759.82,319.2
60000,-435.93,325.12
70000,-368.73,312.51
80000,-131.13,286.29
90000,-60.73,231.14
1e+05,-282.12,158.12
