"timesteps","rewards","uncertainties"
10000,-107.9,14.2
20000,-189.9,155.93
30000,-179.2,160.66
40000,-153.5,121.88
50000,-93,31.97
60000,-96.8,26.34
70000,-96.1,34.08
80000,-104,36.24
90000,-90.6,18.1
1e+05,-100.7,24.08
