"timesteps","rewards","uncertainties"
10000,-225.7,40.98
20000,-119.2,37.77
30000,-110.1,41.86
40000,-80.9,6.99
50000,-76.7,6.91
60000,-73.2,3.06
70000,-80.4,11.46
80000,-84.4,18.97
90000,-82.2,10.39
1e+05,-79,8.05
