"timesteps","rewards","uncertainties"
10000,95,3.69
20000,131.7,5.53
30000,279.3,31.23
40000,500,0
50000,136.8,3.31
60000,500,0
70000,98.9,3.05
80000,500,0
90000,49.5,8.46
1e+05,91.9,2.26
