"timesteps","rewards","uncertainties"
10000,-86.9,9.64
20000,-87.2,8.08
30000,-78.3,4.82
40000,-87.5,16.63
50000,-74.7,7.76
60000,-71.2,4.77
70000,-76.3,7.68
80000,-76.7,8.61
90000,-87,27.88
1e+05,-81,12.91
