"timesteps","rewards","uncertainties"
10000,-190.5,26.77
20000,-156.9,38.94
30000,-112.1,10.77
40000,-97.2,9
50000,-130.8,123.88
60000,-90.9,28.09
70000,-73.9,5.8
80000,-77.8,8.47
90000,-80.2,9.37
1e+05,-78.6,6.07
