"timesteps","rewards","uncertainties"
10000,-13.37,72.99
20000,14.95,36.61
30000,42.75,57.05
40000,47.73,90.01
50000,178.14,111.3
60000,181.23,71.35
70000,68.35,178.02
80000,145.62,74.99
90000,281.61,21.98
1e+05,192.55,67.12
