"timesteps","rewards","uncertainties"
10000,75.3,4.2
20000,101.9,2.43
30000,103.6,2.24
40000,98.3,2.24
50000,500,0
60000,37.9,11.16
70000,198.3,9.59
80000,500,0
90000,110.7,1.79
1e+05,78.7,22.15
