"timesteps","rewards","uncertainties"
10000,78.4,3.93
20000,92.1,1.7
30000,101,1.34
40000,500,0
50000,500,0
60000,159.7,5.97
70000,96.8,8.58
80000,95.9,1.7
90000,35.3,31.44
1e+05,122.4,3.47
