"timesteps","rewards","uncertainties"
10000,-640.52,312.11
20000,-208.78,103.25
30000,-233.5,95.35
40000,-123.18,106.01
50000,13.42,152.14
60000,42.74,109.38
70000,103.6,118.63
80000,176.03,68.53
90000,129.85,96.49
1e+05,-64.03,121.64
110000,12.35,112.24
