"timesteps","rewards","uncertainties"
10000,178.6,14.76
20000,500,0
30000,500,0
40000,252.2,21.5
50000,132.4,16.84
60000,48.3,11.57
70000,235.2,165.78
80000,500,0
90000,500,0
1e+05,500,0
