"timesteps","rewards","uncertainties"
10000,-500,0
20000,-106.1,14.45
30000,-91.9,31.3
40000,-83,9.66
50000,-77.8,10.33
60000,-88.8,20.15
70000,-78.8,10.81
80000,-71,6.29
90000,-74.6,7.98
1e+05,-88.5,30.07
