"timesteps","rewards","uncertainties"
10000,497.5,7.5
20000,480.9,34.35
30000,500,0
40000,168.2,27.03
50000,103,23.51
60000,432.2,94.71
70000,79.2,21.41
80000,336.4,81.16
90000,162,21.03
1e+05,500,0
