"timesteps","rewards","uncertainties"
10000,-500,0
20000,-500,0
30000,-150.4,122.92
40000,-88.1,23.18
50000,-85.2,18.31
60000,-78.9,5.7
70000,-79.8,9.26
80000,-88.4,21.14
90000,-85,10.74
1e+05,-100.2,42.8
