"timesteps","rewards","uncertainties"
10000,-423.5,153
20000,-78.8,10.04
30000,-77.1,5.56
40000,-85.8,14.51
50000,-88.4,12.13
60000,-76.9,6.22
70000,-80.1,8.26
80000,-82.3,19.98
90000,-111.5,85.59
1e+05,-79.1,6.24
