"timesteps","rewards","uncertainties"
10000,-178.6,161.17
20000,-500,0
30000,-81.6,7.98
40000,-80.2,16.04
50000,-78.8,13.63
60000,-81.4,8.18
70000,-82,12.17
80000,-82.7,13.02
90000,-74.4,10.57
1e+05,-119.9,126.98
